Jan 01 $\rightarrowtail$ Jan 05,HR875,HR1903,HR4023,HR5671
Jan 06 $\rightarrowtail$ Jan 10,HR875,HR3117,HR4023,HR5671
Jan 11 $\rightarrowtail$ Jan 15,HR875,HR8709,HR4023,HR3314
Jan 16 $\rightarrowtail$ Jan 20,HR875,HR3117,HR4023,HR3314
Jan 21 $\rightarrowtail$ Jan 25,HR875,HR3131,HR4023,HR3117
Jan 26 $\rightarrowtail$ Jan 30,HR875,HR9098,HR5107,HR6743
Jan 31 $\rightarrowtail$ Feb 04,HR875,HR9098,HR5107,HR6743
Feb 05 $\rightarrowtail$ Feb 09,HR1903,HR3314,HR5107,HR6743
Feb 10 $\rightarrowtail$ Feb 14,HR1903,HR3314,HR5107,HR7590
Feb 15 $\rightarrowtail$ Feb 19,HR1903,HR4023,HR5107,HR7590
Feb 20 $\rightarrowtail$ Feb 24,HR1903,HR4023,HR5107,HR7590
Feb 25 $\rightarrowtail$ Mar 01,HR1903,HR4023,HR6743,HR7590
Mar 02 $\rightarrowtail$ Mar 06,HR1903,HR4023,HR6743,HR7590
Mar 07 $\rightarrowtail$ Mar 11,HR3131,HR4467,HR6743,HR7830
Mar 12 $\rightarrowtail$ Mar 16,HR3131,HR4467,HR6743,HR4467
Mar 17 $\rightarrowtail$ Mar 21,HR3131,HR875,HR6743,HR4467
Mar 22 $\rightarrowtail$ Mar 26,HR3131,HR875,HR6743,HR5107
Mar 27 $\rightarrowtail$ Mar 31,HR3131,HR806,HR6743,HR7590
Apr 01 $\rightarrowtail$ Apr 05,HR3131,HR806,HR6743,HR7590
Apr 06 $\rightarrowtail$ Apr 10,HR3131,HR806,HR6743,HR5671
Apr 11 $\rightarrowtail$ Apr 15,HR3131,HR806,HR6743,HR8709
Apr 16 $\rightarrowtail$ Apr 20,HR3131,HR806,HR7830,HR8709
Apr 21 $\rightarrowtail$ Apr 25,HR3131,HR806,HR7830,HR5671
Apr 26 $\rightarrowtail$ Apr 30,HR3131,HR1903,HR7830,HR9098
May 01 $\rightarrowtail$ May 05,HR3131,HR1903,HR7830,HR5671
May 06 $\rightarrowtail$ May 10,HR3131,HR1903,HR7830,HR5671
May 11 $\rightarrowtail$ May 15,HR4023,HR1903,HR7830,HR806
May 16 $\rightarrowtail$ May 20,HR4023,HR5671,HR7830,HR806
May 21 $\rightarrowtail$ May 25,HR4023,HR5671,HR8709,HR806
May 26 $\rightarrowtail$ May 30,HR4023,HR5671,HR8709,HR806
May 31 $\rightarrowtail$ Jun 04,HR4023,HR5671,HR8709,HR6743
Jun 05 $\rightarrowtail$ Jun 09,HR4023,HR5671,HR8709,HR6743
Jun 10 $\rightarrowtail$ Jun 14,HR4023,HR5671,HR8709,HR6743
Jun 15 $\rightarrowtail$ Jun 19,HR4023,HR5671,HR9098,HR875
Jun 20 $\rightarrowtail$ Jun 24,HR4023,HR3314,HR9098,HR7590
Jun 25 $\rightarrowtail$ Jun 29,HR4023,HR3314,HR9098,HR7590
Jun 30 $\rightarrowtail$ Jul 04,HR4023,HR3117,HR9098,HR7830
Jul 05 $\rightarrowtail$ Jul 09,HR5107,HR6743,HR9098,HR7590
Jul 10 $\rightarrowtail$ Jul 14,HR5107,HR3117,HR9098,HR7590
Jul 15 $\rightarrowtail$ Jul 19,HR5107,HR6743,HR9098,HR7590
Jul 20 $\rightarrowtail$ Jul 24,HR5107,HR6743,HR9098,HR1903
Jul 25 $\rightarrowtail$ Jul 29,HR5107,HR7590,HR875,HR1903
