OBJNAME,ORIGINAL_NAME,ALIASES,RA_DEG,RA_SOURCE,DEC_DEG,DEC_SOURCE,EPOCH,PMRA,PMRA_SOURCE,PMDE,PMDE_SOURCE,PLX,PLX_SOURCE,RV,RV_SOURCE,TEFF,TEFF_SOURCE,SP_TYPE,SP_SOURCE,VSINI,VSINI_ERR,VSINI_SOURCE,UMAG,UMAG_SOURCE,GMAG,GMAG_SOURCE,RMAG,RMAG_SOURCE,IMAG,IMAG_SOURCE,ZMAG,ZMAG_SOURCE,JMAG,JMAG_SOURCE,HMAG,HMAG_SOURCE,KMAG,KMAG_SOURCE,NOTES,USED,KEYWORDS
10LAC,* 10 Lac,*  10 Lac|** S  813A|** TRN   36|1RXS J223916.4+390252|2MASS J22391567+3903011|ADS 16148 A|AG+38 2350|ALS 14844|BD+38  4826|CCDM J22393+3903A|CEL   5504|CGO 641|CSI+38  4826  2|FK5  852|GC 31626|GCRV 14234|GEN# +1.00214680A|GOS G096.65-16.98 01|GSC 03201-00094|Gaia DR2 1908095850396090880|HD 214680|HGAM   1078|HIC 111841|HIP 111841|HR  8622|IDS 22348+3832 A|JP11  3513|MCW 1066|N30 4987|NSV 25932|PMC 90-93   599|PPM  88031|ROT  3301|SAO  72575|SKY# 43075|TD1 29256|TIC 128692445|TYC 3201-94-1|UBV   19389|UBV M  26533|WDS J22393+3903AC|WEB 19979|[HFE83] 1514|[HJ56] 245|* 10 Lac|** S 813A|** TRN 36|10_LAC|BD+38 4826|CEL 5504|CSI+38 4826 2|FK5 852|HGAM 1078|HR 8622|JP11 3513|PMC 90-93 599|PPM 88031|ROT 3301|SAO 72575|UBV 19389|UBV M 26533|*10Lac|**S813A|**TRN36|1RXSJ223916.4+390252|2MASSJ22391567+3903011|ADS16148A|AG+382350|ALS14844|BD+384826|CCDMJ22393+3903A|CEL5504|CGO641|CSI+3848262|FK5852|GC31626|GCRV14234|GEN#+1.00214680A|GOSG096.65-16.9801|GSC03201-00094|GaiaDR21908095850396090880|HD214680|HGAM1078|HIC111841|HIP111841|HR8622|IDS22348+3832A|JP113513|MCW1066|N304987|NSV25932|PMC90-93599|PPM88031|ROT3301|SAO72575|SKY#43075|TD129256|TIC128692445|TYC3201-94-1|UBV19389|UBVM26533|WDSJ22393+3903AC|WEB19979|[HFE83]1514|[HJ56]245|*10Lac|**S813A|**TRN36|10LAC|BD+384826|CEL5504|CSI+3848262|FK5852|HGAM1078|HR8622|JP113513|PMC90-93599|PPM88031|ROT3301|SAO72575|UBV19389|UBVM26533,339.8153184,Gaia DR2,39.05024586,Gaia DR2,2457206,-1.436831092,Gaia DR2,-4.802891782,Gaia DR2,2.787612618,Gaia DR2,-10.1,2006AstL...32..759G,35200,2018A&A...613A..65H,O9V,2011ApJS..193...24S,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:17.089 by cook@cook using drs_astrometrics.py,1,
11COM,11Com,*  11 Com|** HO   52A|ADS  8521 A|AG+18 1179|BD+18  2592|CCDM J12207+1748A|CSI+18  2592  1|FK5 2987|GC 16835|GCRV  7404|GEN# +1.00107383|GSC 01445-02560|HD 107383|HIC  60202|HIP  60202|HR  4697|IDS 12157+1821 A|IRAS 12181+1804|IRC +20241|JP11  2212|2MASS J12204305+1747341|PMC 90-93  1313|PPM 128975|ROT  1809|SAO 100053|SKY# 23129|TD1 16214|TIC 72437047|TYC 1445-2560-1|UBV   11083|UBV M  18084|WDS J12207+1748A|WEB 10703|YPAC 260|YZ  18  4649|Gaia DR3 3946945413106333696|Gaia DR2 3946945413106333696|*11Com|**HO52A|ADS8521A|AG+181179|BD+182592|CCDMJ12207+1748A|CSI+1825921|FK52987|GC16835|GCRV7404|GEN#+1.00107383|GSC01445-02560|HD107383|HIC60202|HIP60202|HR4697|IDS12157+1821A|IRAS12181+1804|IRC+20241|JP112212|2MASSJ12204305+1747341|PMC90-931313|PPM128975|ROT1809|SAO100053|SKY#23129|TD116214|TIC72437047|TYC1445-2560-1|UBV11083|UBVM18084|WDSJ12207+1748A|WEB10703|YPAC260|YZ184649|GaiaDR33946945413106333696|GaiaDR23946945413106333696,185.1787793,Gaia DR2,17.79325164,Gaia DR2,2457206,-109.2413803,Gaia DR2,88.17010164,Gaia DR2,10.71044534,Gaia DR2,43.37,2018yCat.1345....0G,4741,2016A&A...585A...5B,G8+IIIFe-1,1989ApJS...71..245K,,,,,,,,,,,,,,,,,,,,Added on 2023-08-18 15:47:26.028 by nirps-client@maestria using drs_astrometrics.py,1,
15PEG,PLX 5288,*  15 Peg|2MASS J21522991+2847367|AG+28 2571|BD+28  4215|GC 30625|GCRV 13741|GEN# +1.00207978|GJ  4234|GSC 02214-02037|Gaia DR2 1896396703077703936|HD 207978|HIC 107975|HIP 107975|HR  8354|PLX 5288|PLX 5288.00|PPM 113698|ROT  3183|SAO  90065|SKY# 41690|TD1 28543|TIC 326202925|TYC 2214-2037-1|UBV M  25978|WEB 19470|YPAC 212|YZ  28 12966|uvby98 100207978|(F) 15 Peg|* 15 Peg|15 Peg|15_PEG|BD+28 4215|GJ 4234|HR 8354|ROT 3183|SAO 90065|UBV M 25978|YZ 28 12966|*15Peg|2MASSJ21522991+2847367|AG+282571|BD+284215|GC30625|GCRV13741|GEN#+1.00207978|GJ4234|GSC02214-02037|GaiaDR21896396703077703936|HD207978|HIC107975|HIP107975|HR8354|PLX5288|PLX5288.00|PPM113698|ROT3183|SAO90065|SKY#41690|TD128543|TIC326202925|TYC2214-2037-1|UBVM25978|WEB19470|YPAC212|YZ2812966|uvby98100207978|(F)15Peg|*15Peg|15Peg|15PEG|BD+284215|GJ4234|HR8354|ROT3183|SAO90065|UBVM25978|YZ2812966,328.1243627,Gaia DR2,28.79327671,Gaia DR2,2457206,-59.0848435,Gaia DR2,-61.64685766,Gaia DR2,36.86280491,Gaia DR2,18.921,2018A&A...616A...7S,6452,2017AJ....153...21L,F2V,1995ApJS...99..135A,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:19.330 by cook@cook using drs_astrometrics.py,1,
16CYG_A,* 16 Cyg A,"*  16 Cyg A|*  16 Cyg C|** STF 4046A|** TRN    4|2MASS J19414896+5031305|ADS 12815 A|AG+50 1407|AKARI-IRC-V1 J1941488+503129|ASCC  271116|BD+50  2847|CCDM J19418+5031A|GC 27284|GCRV 12083|GEN# +1.00186408|GJ   765.1 A|Gaia DR1 2135550751385079552|Gaia DR2 2135550755683405952|HD 186408|HIC  96895|HIP  96895|HR  7503|IDS 19392+5017 A|JP11  3128|KIC 12069424|LSPM J1941+5031W|LTT 15750|NLTT 48136|PLX 4634|PPM  37671|ROT  2839|SAO  31898|SKY# 36804|SPOCS  854|TIC 27533341|TYC 3565-1524-1|UBV   16779|UBV M  24079|USNO 889|USNO-B1.0 1405-00322518|WDS J19418+5032A|WDS J19418+5032Aa,Ab|WEB 17003|YZ  50  6149|uvby98 100186408|* 16 Cyg A|* 16 Cyg C|** TRN 4|16_CYG_A|ASCC 271116|BD+50 2847|GJ 765.1 A|HIC 96895|HIP 96895|HR 7503|JP11 3128|PPM 37671|ROT 2839|SAO 31898|SPOCS 854|UBV 16779|UBV M 24079|YZ 50 6149|*16CygA|*16CygC|**STF4046A|**TRN4|2MASSJ19414896+5031305|ADS12815A|AG+501407|AKARI-IRC-V1J1941488+503129|ASCC271116|BD+502847|CCDMJ19418+5031A|GC27284|GCRV12083|GEN#+1.00186408|GJ765.1A|GaiaDR12135550751385079552|GaiaDR22135550755683405952|HD186408|HIC96895|HIP96895|HR7503|IDS19392+5017A|JP113128|KIC12069424|LSPMJ1941+5031W|LTT15750|NLTT48136|PLX4634|PPM37671|ROT2839|SAO31898|SKY#36804|SPOCS854|TIC27533341|TYC3565-1524-1|UBV16779|UBVM24079|USNO889|USNO-B1.01405-00322518|WDSJ19418+5032A|WDSJ19418+5032Aa,Ab|WEB17003|YZ506149|uvby98100186408|*16CygA|*16CygC|**TRN4|16CYGA|ASCC271116|BD+502847|GJ765.1A|HIC96895|HIP96895|HR7503|JP113128|PPM37671|ROT2839|SAO31898|SPOCS854|UBV16779|UBVM24079|YZ506149",295.4529704,Gaia DR2,50.52437636,Gaia DR2,2457206,-148.299286,Gaia DR2,-158.9610583,Gaia DR2,47.2771232,Gaia DR2,-27.61,2002ApJS..141..503N,5760,2021AJ....161..134H,G1.5Vb,1989ApJS...71..245K,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:21.499 by cook@cook using drs_astrometrics.py,1,
16SCO,16Sco,*  16 Sco|2MASS J16120731-0832512|BD-08  4180|GC 21784|GCRV  9313|GEN# +1.00145607|GSC 05612-01227|Gaia DR2 4348404390042854912|HD 145607|HIC  79387|HIP  79387|HR  6033|IRAS 16094-0825|PLX 3675|PLX 3675.00|PPM 199398|ROT  2296|SAO 141024|SKY# 29247|TD1 18951|TIC 420896293|TYC 5612-1227-1|UBV   13773|UBV M  21247|WEB 13423|YZ  98  5629|uvby98 100145607|* 16 Sco|16SCO|16Sco|BD-08 4180|GCRV 9313|HIC 79387|HIP 79387|HR 6033|ROT 2296|UBV 13773|UBV M 21247|YZ 98 5629|*16Sco|2MASSJ16120731-0832512|BD-084180|GC21784|GCRV9313|GEN#+1.00145607|GSC05612-01227|GaiaDR24348404390042854912|HD145607|HIC79387|HIP79387|HR6033|IRAS16094-0825|PLX3675|PLX3675.00|PPM199398|ROT2296|SAO141024|SKY#29247|TD118951|TIC420896293|TYC5612-1227-1|UBV13773|UBVM21247|WEB13423|YZ985629|uvby98100145607|*16Sco|16SCO|16Sco|BD-084180|GCRV9313|HIC79387|HIP79387|HR6033|ROT2296|UBV13773|UBVM21247|YZ985629,243.0306771,Gaia DR2,-8.547581631,Gaia DR2,2457206,44.12551107,Gaia DR2,-0.07825370467,Gaia DR2,12.64839489,Gaia DR2,5,2006AstL...32..759G,8472,2012A&A...537A.120Z,A2IV,1999MSS...C05....0H,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:25.736 by cook@cook using drs_astrometrics.py,1,
16SGR,* 16 Sgr,"*  16 Sgr|** BU  286A|** CHR  255|2MASS J18151297-2023167|ADS 11191 A|ALS  4819|ASCC 1595683|BD-20  5055|CCDM J18152-2023A|CGO 482|CPD-20  6919|CSI-20  5055  1|GC 24895|GCRV 10699|GEN# +1.00167263J|GOS G010.76-01.58 01|GSC 06272-00089|Gaia DR2 4094031138050641408|HD 167263|HIC  89440|HIP  89440|HR  6823|Hbg 1595|Hilt  721|IDS 18093-2025 A|LS 4819|MCW  632|PPM 268129|ROT  2574|SAO 186544|SBC9 1950|SKY# 33235|TD1 21964|TIC 243891646|TYC 6272-89-1|UBV   15500|UBV M  22757|UCAC4 349-128160|WDS J18152-2023A|WDS J18152-2023Aa,Ab|WEB 15214|YZ 110  7574|[B10]  4613|[HJ56] 126|[SC95] M 459|[SC96] Mis 1184|uvby98 100167263|* 16 Sgr|** BU 286A|** CHR 255|16_SGR|ALS 4819|BD-20 5055|CPD-20 6919|CSI-20 5055 1|HIC 89440|HIP 89440|HR 6823|Hilt 721|MCW 632|ROT 2574|UBV 15500|UBV M 22757|YZ 110 7574|[B10] 4613|*16Sgr|**BU286A|**CHR255|2MASSJ18151297-2023167|ADS11191A|ALS4819|ASCC1595683|BD-205055|CCDMJ18152-2023A|CGO482|CPD-206919|CSI-2050551|GC24895|GCRV10699|GEN#+1.00167263J|GOSG010.76-01.5801|GSC06272-00089|GaiaDR24094031138050641408|HD167263|HIC89440|HIP89440|HR6823|Hbg1595|Hilt721|IDS18093-2025A|LS4819|MCW632|PPM268129|ROT2574|SAO186544|SBC91950|SKY#33235|TD121964|TIC243891646|TYC6272-89-1|UBV15500|UBVM22757|UCAC4349-128160|WDSJ18152-2023A|WDSJ18152-2023Aa,Ab|WEB15214|YZ1107574|[B10]4613|[HJ56]126|[SC95]M459|[SC96]Mis1184|uvby98100167263|*16Sgr|**BU286A|**CHR255|16SGR|ALS4819|BD-205055|CPD-206919|CSI-2050551|HIC89440|HIP89440|HR6823|Hilt721|MCW632|ROT2574|UBV15500|UBVM22757|YZ1107574|[B10]4613",273.8040485,Gaia DR2,-20.38797834,Gaia DR2,2457206,2.107182839,Gaia DR2,-2.086838205,Gaia DR2,0.4805203893,Gaia DR2,-11,2004A&A...424..727P,31000,HEADER[CFHT],O9.5III,2014ApJS..211...10S,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:23.604 by cook@cook using drs_astrometrics.py,1,
17PEG,17Peg,*  17 Peg|2MASS J21565637+1204354|AG+11 2735|BD+11  4696|FK5 3751|GC 30719|GCRV 13788|GEN# +1.00208565|GSC 01130-01972|Gaia DR2 2728431923869085056|HD 208565|HIC 108339|HIP 108339|HR  8373|N30 4836|PPM 140856|ROT  3192|SAO 107528|SKY# 41820|TD1 28611|TIC 60595351|TYC 1130-1972-1|UBV   18771|UBV M  26010|WEB 19513|YZ  11  8738|uvby98 100208565|* 17 Peg|17PEG|17Peg|BD+11 4696|HR 8373|ROT 3192|UBV 18771|UBV M 26010|YZ 11 8738|*17Peg|2MASSJ21565637+1204354|AG+112735|BD+114696|FK53751|GC30719|GCRV13788|GEN#+1.00208565|GSC01130-01972|GaiaDR22728431923869085056|HD208565|HIC108339|HIP108339|HR8373|N304836|PPM140856|ROT3192|SAO107528|SKY#41820|TD128611|TIC60595351|TYC1130-1972-1|UBV18771|UBVM26010|WEB19513|YZ118738|uvby98100208565|*17Peg|17PEG|17Peg|BD+114696|HR8373|ROT3192|UBV18771|UBVM26010|YZ118738,329.2347615,Gaia DR2,12.07643382,Gaia DR2,2457206,-27.50976278,Gaia DR2,-12.81550065,Gaia DR2,7.583223795,Gaia DR2,10.3,2006AstL...32..759G,9247,2012A&A...537A.120Z,A2Vnn,,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:27.860 by cook@cook using drs_astrometrics.py,1,TELLURIC
19CEP,* 19 Cep,*  19 Cep|** BU  697A|** TRN   35A|1RXS J220508.8+621647|2MASS J22050878+6216473|ADS 15624 A|AG+62 1306|ALS 12117|BD+61  2246|CCDM J22051+6217A|CEL   5432|CGO 629|CSI+61  2246  1|GC 30907|GCRV 13884|GEN# +1.00209975A|GOS G104.87+05.39 01|GSC 04267-02757|Gaia DR1 2205660285694481920|Gaia DR2 2205660290000075392|HD 209975|HIC 109017|HIP 109017|HR  8428|Hilt 1082|IRAS 22036+6202|JP11  3454|LS III +62    7|MCW 1026|PPM  23444|ROT  3218|SAO  19849|SKY# 42071|TD1 28787|TIC 334604570|TYC 4267-2757-1|UBV   18896|UBV M  26135|UCAC3 305-145602|UCAC4 762-064843|WDS J22051+6217A|WEB 19604|WISE J220508.78+621647.3|WISEA J220508.79+621647.3|[HJ56] 236|[PGH98b] Star 10|uvby98 100209975 A|* 19 Cep|** BU 697A|** TRN 35A|19_CEP|BD+61 2246|CEL 5432|CSI+61 2246 1|HR 8428|JP11 3454|LS III +62 7|PPM 23444|ROT 3218|SAO 19849|UBV 18896|UBV M 26135|*19Cep|**BU697A|**TRN35A|1RXSJ220508.8+621647|2MASSJ22050878+6216473|ADS15624A|AG+621306|ALS12117|BD+612246|CCDMJ22051+6217A|CEL5432|CGO629|CSI+6122461|GC30907|GCRV13884|GEN#+1.00209975A|GOSG104.87+05.3901|GSC04267-02757|GaiaDR12205660285694481920|GaiaDR22205660290000075392|HD209975|HIC109017|HIP109017|HR8428|Hilt1082|IRAS22036+6202|JP113454|LSIII+627|MCW1026|PPM23444|ROT3218|SAO19849|SKY#42071|TD128787|TIC334604570|TYC4267-2757-1|UBV18896|UBVM26135|UCAC3305-145602|UCAC4762-064843|WDSJ22051+6217A|WEB19604|WISEJ220508.78+621647.3|WISEAJ220508.79+621647.3|[HJ56]236|[PGH98b]Star10|uvby98100209975A|*19Cep|**BU697A|**TRN35A|19CEP|BD+612246|CEL5432|CSI+6122461|HR8428|JP113454|LSIII+627|PPM23444|ROT3218|SAO19849|UBV18896|UBVM26135,331.2866092,Gaia DR2,62.27980148,Gaia DR2,2457206,-1.026573736,Gaia DR2,-2.493237344,Gaia DR2,1.164795129,Gaia DR2,-12.3,2006AstL...32..759G,32000,2018A&A...613A..65H,O9Ib,2011ApJS..193...24S,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:32.035 by cook@cook using drs_astrometrics.py,1,
1RXS_J004211_1M425245,1RXS J004211.1-425245,UCAC4 236-000673|ASAS J004211-4252.7|2MASS J00421092-4252545|1RXS J004211.1-425245|TIC 80427281|Gaia DR3 4980868526585951232|Gaia DR2 4980868526585951232|UCAC4236-000673|ASASJ004211-4252.7|2MASSJ00421092-4252545|1RXSJ004211.1-425245|TIC80427281|GaiaDR34980868526585951232|GaiaDR24980868526585951232,10.54601906,Gaia DR3,-42.88200788,Gaia DR3,2457388.5,83.26479246,Gaia DR3,-42.63569613,Gaia DR3,18.92051064,Gaia DR3,8.7,2014AJ....147..146K,3479,TIC v8.2,M2.2,2014AJ....147..146K,,,,,,,,,,,,,,,,,,,, Added on 2025-10-20 15:09:57.454 by nirps-client@rali.astro.umontreal.ca using drs_astrometrics.py,1,
1RXS_J050156_7P010845,1RXS J050156.7+010845,UCAC4 456-008319|Karmn J05019+011|2MASS J05015665+0108429|PM J05019+0108|1RXS J050156.7+010845|TIC 269077806|[SLS2012] PYC J05019+0108|Gaia DR3 3228854506445679616|Gaia DR2 3228854506445679616|UCAC4456-008319|KarmnJ05019+011|2MASSJ05015665+0108429|PMJ05019+0108|1RXSJ050156.7+010845|TIC269077806|[SLS2012]PYCJ05019+0108|GaiaDR33228854506445679616|GaiaDR23228854506445679616,75.486229,Gaia DR2,1.144859665,Gaia DR2,2457206,33.95353315,Gaia DR2,-90.7148959,Gaia DR2,39.55455706,Gaia DR2,18.64,2017AJ....154...69S,3207,2021A&A...656A.162M,M4.0V,2015A&A...577A.128A,,,,,,,,,,,,,,,,,,,,Added on 2023-07-08 12:34:18.652 by spirou-client@maestria using drs_astrometrics.py,1,
1RXS_J115928_5M524717,1RXS J115928.5-524717,2MASS J11592743-5247188|DENIS J115927.4-524718|1RXS J115928.5-524717|TIC 332470458|USNO-B1.0 0372-00386769|WISEA J115926.12-524720.2|[FS2003] 0617|Gaia DR2 5368479017141170304|Gaia DR3 5368479017141170304|2MASSJ11592743-5247188|DENISJ115927.4-524718|1RXSJ115928.5-524717|TIC332470458|USNO-B1.00372-00386769|WISEAJ115926.12-524720.2|[FS2003]0617|GaiaDR25368479017141170304|GaiaDR35368479017141170304,179.8563985,Gaia DR2,-52.78914343,Gaia DR2,2457206,-1068.129249,Gaia DR2,-129.3504067,Gaia DR2,105.5854588,Gaia DR2,,,2500,doi.org/10.1051/0004-6361/201321346,M9Ve,2004A&A...415..265H,,,,,,,,,,,,,,,,,,,, Added on 2024-04-16 20:53:18.316 by nirps-client@rali using drs_astrometrics.py,1,
1RXS_J173353_5P165515,1RXSJ173353.5+165515,1RXS J173353.5+165515|1SWASP J173353.14+165512.8|2MASS J17335314+1655129|ASAS J173353+1655.2|Gaia DR2 4549983418742839808|Karmn J17338+169|LSPM J1733+1655|PM J17338+1655|TIC 400361232|UCAC4 535-065571|USNO-B1.0 1069-00320388|V* V1274 Her|WISEA J173353.07+165511.6|1RXSJ173353.5+165515|1RXSJ173353_5P165515|1RXSJ173353.5+165515|1SWASPJ173353.14+165512.8|2MASSJ17335314+1655129|ASASJ173353+1655.2|GaiaDR24549983418742839808|KarmnJ17338+169|LSPMJ1733+1655|PMJ17338+1655|TIC400361232|UCAC4535-065571|USNO-B1.01069-00320388|V*V1274Her|WISEAJ173353.07+165511.6|1RXSJ173353.5+165515|1RXSJ1733535P165515,263.4709666,Gaia DR2,16.91973272,Gaia DR2,2457206,-122.0832284,Gaia DR2,-116.0025239,Gaia DR2,62.37152607,Gaia DR2,-19,2014AJ....147...20N,3017,2021A&A...656A.162M,M6V,2014AJ....147...20N,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:34.148 by cook@cook using drs_astrometrics.py,1,
20LMI_B,* 20 LMi B,*  20 LMi B|** RAG    7B|1RXS J100050.9+315555|2MASS J10005030+3155459|2MASSW J1000503+315545|BD+32  1964B|CCDM J10010+3155B|GJ   376 B|Gaia DR2 746545859566712832|Gaia EDR3 746545859566712832|HD  86728B|Karmn J10008+319|LSPM J1000+3155|LSR J1000+3155|RBS   820|RX J1000.8+3155|TIC 172954298|UCAC4 610-046343|USNO-B1.0 1219-00195906|WDS J10010+3155B|WISEA J100049.78+315540.7|[FS2003] 0537|[ZEH2003] RX J1000.8+3155  1|* 20 LMi B|** RAG 7B|20_LMI_B|BD+32 1964B|GJ 376 B|HD 86728B|RBS 820|[ZEH2003] RX J1000.8+3155 1|*20LMiB|**RAG7B|1RXSJ100050.9+315555|2MASSJ10005030+3155459|2MASSWJ1000503+315545|BD+321964B|CCDMJ10010+3155B|GJ376B|GaiaDR2746545859566712832|GaiaEDR3746545859566712832|HD86728B|KarmnJ10008+319|LSPMJ1000+3155|LSRJ1000+3155|RBS820|RXJ1000.8+3155|TIC172954298|UCAC4610-046343|USNO-B1.01219-00195906|WDSJ10010+3155B|WISEAJ100049.78+315540.7|[FS2003]0537|[ZEH2003]RXJ1000.8+31551|*20LMiB|**RAG7B|20LMIB|BD+321964B|GJ376B|HD86728B|RBS820|[ZEH2003]RXJ1000.8+31551,150.2064754,Gaia EDR3,31.92731751,Gaia EDR3,2457388.5,-533.9511352,Gaia EDR3,-428.5215398,Gaia EDR3,66.92957618,Gaia EDR3,56,2015ApJ...802L..10T,3357,2015ApJS..220...16T,M6.0V,2015A&A...577A.128A,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:36.285 by cook@cook using drs_astrometrics.py,1,
22LYN,PPM 49904,*  22 Lyn|** ENG   31A|2MASS J07295595+4940207|AG+49  752|AKARI-IRC-V1 J0729560+494020|BD+49  1630|CCDM J07299+4941A|CSI+49  1630  1|GC  9992|GCRV  4976|GEN# +1.00058855|GJ  9234|GSC 03401-01647|Gaia DR2 976893923544104576|HD  58855|HIC  36439|HIP  36439|HR  2849|IDS 07223+4952 A|IRAS 07262+4946|PLX 1757|PLX 1757.00|PPM  49904|ROT  1204|SAO  41808|SKY# 13715|TD1 10148|TIC 328324648|TYC 3401-1647-1|UBV    7210|UBV M  13284|WDS J07299+4940A|WEB  7251|YPAC 448|YZ  49  2861|uvby98 100058855|(F) 22 Lyn|* 22 Lyn|** ENG 31A|22 Lyn|22_LYN|AG+49 752|BD+49 1630|CSI+49 1630 1|GC 9992|GCRV 4976|GJ 9234|HD 58855|HIC 36439|HIP 36439|HR 2849|PPM 49904|ROT 1204|SAO 41808|UBV 7210|UBV M 13284|WEB 7251|YZ 49 2861|*22Lyn|**ENG31A|2MASSJ07295595+4940207|AG+49752|AKARI-IRC-V1J0729560+494020|BD+491630|CCDMJ07299+4941A|CSI+4916301|GC9992|GCRV4976|GEN#+1.00058855|GJ9234|GSC03401-01647|GaiaDR2976893923544104576|HD58855|HIC36439|HIP36439|HR2849|IDS07223+4952A|IRAS07262+4946|PLX1757|PLX1757.00|PPM49904|ROT1204|SAO41808|SKY#13715|TD110148|TIC328324648|TYC3401-1647-1|UBV7210|UBVM13284|WDSJ07299+4940A|WEB7251|YPAC448|YZ492861|uvby98100058855|(F)22Lyn|*22Lyn|**ENG31A|22Lyn|22LYN|AG+49752|BD+491630|CSI+4916301|GC9992|GCRV4976|GJ9234|HD58855|HIC36439|HIP36439|HR2849|PPM49904|ROT1204|SAO41808|UBV7210|UBVM13284|WEB7251|YZ492861,112.4838937,Gaia DR2,49.67210255,Gaia DR2,2457206,111.2693196,Gaia DR2,-83.38069729,Gaia DR2,49.0287311,Gaia DR2,-27.389,2018A&A...616A...7S,6395,2017AJ....153...21L,F6V,2001AJ....121.2148G,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:38.465 by cook@cook using drs_astrometrics.py,1,
23LMI,23LMi,*  23 LMi|2MASS J10161444+2918379|AG+29 1104|BD+30  1981|FK5 2823|GC 14086|GCRV  6468|GEN# +1.00088960|GSC 01975-01399|Gaia DR2 741357981454593536|HD  88960|HIC  50303|HIP  50303|HR  4024|IRAS 10134+2933|PPM 100213|ROT  1546|SAO  81258|SKY# 19743|TD1 14689|TIC 1042770|TYC 1975-1399-1|UBV    9521|UBV M  16070|WEB  9237|YZ  29  5271|uvby98 100088960|* 23 LMi|23LMI|23LMi|BD+30 1981|GCRV 6468|HD 88960|HIC 50303|HIP 50303|HR 4024|ROT 1546|SAO 81258|UBV 9521|UBV M 16070|WEB 9237|YZ 29 5271|*23LMi|2MASSJ10161444+2918379|AG+291104|BD+301981|FK52823|GC14086|GCRV6468|GEN#+1.00088960|GSC01975-01399|GaiaDR2741357981454593536|HD88960|HIC50303|HIP50303|HR4024|IRAS10134+2933|PPM100213|ROT1546|SAO81258|SKY#19743|TD114689|TIC1042770|TYC1975-1399-1|UBV9521|UBVM16070|WEB9237|YZ295271|uvby98100088960|*23LMi|23LMI|23LMi|BD+301981|GCRV6468|HD88960|HIC50303|HIP50303|HR4024|ROT1546|SAO81258|UBV9521|UBVM16070|WEB9237|YZ295271,154.0597763,Gaia DR2,29.31037596,Gaia DR2,2457206,-70.58981126,Gaia DR2,-22.95005699,Gaia DR2,11.69204543,Gaia DR2,16.4,1953GCRV..C......0W,11000,2016A&A...589A..83G,A0Vn,,,,,,,,,,,,,,,,,,,,,Added on 2022-01-31 18:24:40.700 by cook@cook using drs_astrometrics.py,1,TELLURIC
